Goal ,Objective,Methodology ,Organisation,Project ,Date,Total_EUR,EUR_2026,EUR_2025,EUR_2024,EUR_2023,EUR_2022,EUR_2021
Pollution,Reduce production of plastics,Policy & litigation,Portsmouth University ,The development of a robust international agreement to tackle plastic pollution ,2022,341222.17,,,,,341222.17,
Pollution,Reduce production of plastics,Policy & litigation,FFI,Tackling pellet loss at sea,2022,86553.45,,,,,86553.45,
Pollution,Circular economy ,Key sectors,BFFP,"Anchor grant - global policy, corporate responibility & impact measuring ",2023,772517.2,265465.2,257257,249795,,,
Pollution,Reduce production of plastics,Raise profile,BFFP,Brand Audits ,2021,138775,,,,,,138775
Pollution,Reduce production of plastics,Innovation & solutions,WWF,EPS Fish Boxes ,2022,100000,,,,,100000,
Pollution,Reduce production of plastics,Key sectors,Oceanwise,Innovating to Eliminate Marine Microfiber Pollution,2021,109222.75,,,,,,109222.75
Pollution,Reduce production of plastics,Raise profile,Planet Tracker,Plastics Tracker,2021,115000,,,,,,115000
Pollution,Reduce production of plastics,Raise profile,Surfers Against Sewage,Ocean Education,2021,91000,,,,,,91000
Pollution,Circular economy ,Key sectors,Forum for the Future ,Enabling systemic circularity in fashion ,2023,170087,,,66322,103765,,
Pollution,Circular economy ,Policy & litigation,BFFP,Gobal Reuse roadmap ,2022,135202.6,,,,,135202.6,
Pollution,Circular economy ,Key sectors,BFFP,Holding retailers accountable ,2022,44462.6,,,,,44462.6,
Pollution,Circular economy ,Innovation & solutions,Enviu,Inclusive transitions from disposable to sustainable ,2022,319000,,,,,319000,
Pollution,Circular economy ,Innovation & solutions,Enviu ,Anchor grant ,2023,750000,,250000,250000,250000,,
Pollution,Circular economy ,Innovation & solutions,Natuur en Milieu,Mission Reuse,2021,99750,,,,,,99750
Pollution,Circular economy ,Innovation & solutions,Enviu,Zero Waste Living Lab Indonesia ,2021,148000,,,,,,148000
Pollution,Circular economy ,Key sectors,HCWH ,Towards plastic free heathcare in Europe,2021,149683,,,,,,149683
Pollution,Phase out of harmful chemicals,Policy & litigation,PAN-UK,To secure ambitious global action to reduce pesticide harms to human health and the environment,2022,200000,,,,100000,100000,
Pollution,Phase out of harmful chemicals,Policy & litigation,CHEM Trust ,Improving the EU's chemical regulations and ensureing that post-Brexit UK at the same level. ,2022,139837,,,,,139837,
Pollution,Phase out of harmful chemicals,Raise profile,Planet Tracker ,Toxic Footprint ,2022,547400,,,329935,217465,,
Pollution,Phase out of harmful chemicals,Removal,Natuur en Milieu,Clean Waters Now,2023,105000,,,,105000,,
Pollution,Sustainable and nature-based mechanisms ,Innovation & solutions,Healthy Reef Index,A healthy solution to nutrient pollution on reefs ,2022,113750,,,,,113750,
Pollution,Sustainable and nature-based mechanisms ,Removal,BirdLife Europe ,Buffering and reducing Baltic Sea nitrate pollution by implementing natural-based solution,2022,95053,,,,,95053,
Pollution,Phase out of harmful chemicals,Removal,Plastic Soup Foundation,Biooplastics: Friend or Foe?,2021,198580,,,,,,198580
Pollution,Sustainable and nature-based mechanisms ,Innovation & solutions,Coral Reef Alliance,Saving coral reefs through wastewater management ,2022,119183.61,,,,,119183.61,
Pollution,Phase out of harmful chemicals,Raise profile,CIEL ,"Cross-pollinating a Collaborative Movement Strategy on Agrochemicals and
Fossil Pollution",2022,136500,,,,,136500,
Climate resilience,Climate vs biodiversity nexus ,Grow & protect,North Sea Foundation ,Planning offshore wind energy and securing future marine ecosystems in the Northern Sea.,2022,150000,,,50000,50000,50000,
Climate resilience,Climate vs biodiversity nexus ,Grow & protect,Planet Tracker,Deep Six ,2022,547400,,,,217465,329935,
Climate resilience,Aquaculture ,Policy & litigation,Blue Marine Foundation ,Making the Crown Estate Scotland take responsibility for its salmon farms,2021,122992.5,,,,,,122992.5
